sku,slug,category,name_en,short_en,description_en,price,compare_at_price,stock,visible,featured,image_urls
MT-MTR-003,laser-distance-meter-40m,Hardware Tools,Laser Distance Meter 40m,Pocket laser tool for quick room measurement.,"Measures distance, area, and volume with one-hand operation and memory slots.",34.99,44.99,32,true,false,/catalog/hardware/MT-MTR-003-1.jpg|/catalog/hardware/MT-MTR-003-2.jpg
MT-MTR-004,aluminum-combo-square-12inch,Hardware Tools,Aluminum Combo Square 12-inch,Right-angle and depth marking in one.,"Etched ruler scale, lightweight body, and stable lock for accurate cuts.",22.99,29.99,44,true,false,/catalog/hardware/MT-MTR-004-1.jpg|/catalog/hardware/MT-MTR-004-2.jpg
MT-DRB-001,titanium-drill-bit-set-13pc,Hardware Tools,Titanium Drill Bit Set 13pc,"General-use bit set for wood, plastic, and light metal.",Titanium-coated high-speed steel bits in compact indexed storage case.,27.99,34.99,58,true,true,/catalog/hardware/MT-DRB-001-1.jpg|/catalog/hardware/MT-DRB-001-2.jpg
MT-DRB-002,impact-driver-bit-pack-32pc,Hardware Tools,Impact Driver Bit Pack 32pc,Impact-ready bits for fast driving jobs.,Color-coded assortment with magnetic holder for drills and electric screwdrivers.,23.99,31.99,66,true,false,/catalog/hardware/MT-DRB-002-1.jpg|/catalog/hardware/MT-DRB-002-2.jpg
MT-DRB-003,masonry-drill-bit-set-7pc,Hardware Tools,Masonry Drill Bit Set 7pc,Concrete and brick bit set for home installs.,Carbide tips with anti-slip shank to improve stability on masonry surfaces.,21.99,28.99,49,true,false,/catalog/hardware/MT-DRB-003-1.jpg|/catalog/hardware/MT-DRB-003-2.jpg
MT-DRB-004,countersink-bit-kit-6pc,Hardware Tools,Countersink Bit Kit 6pc,Clean pilot holes with flush screw finishes.,"Includes six countersink sizes for cabinet work, trim, and wood projects.",19.99,25.99,52,true,false,/catalog/hardware/MT-DRB-004-1.jpg|/catalog/hardware/MT-DRB-004-2.jpg
MT-FST-001,wall-anchor-assortment-210pc,Hardware Tools,Wall Anchor Assortment 210pc,Mixed wall anchors and screws for apartment installs.,"Includes multiple sizes for drywall, concrete, and hollow wall applications.",18.99,24.99,110,true,true,/catalog/hardware/MT-FST-001-1.jpg|/catalog/hardware/MT-FST-001-2.jpg
MT-FST-002,stainless-screw-kit-500pc,Hardware Tools,Stainless Screw Kit 500pc,Corrosion-resistant screw assortment for indoor and outdoor fixes.,Organized case with common head styles and quick ID labels.,24.99,32.99,84,true,false,/catalog/hardware/MT-FST-002-1.jpg|/catalog/hardware/MT-FST-002-2.jpg
MT-FST-003,hex-bolt-nut-washer-kit-400pc,Hardware Tools,Hex Bolt Nut Washer Kit 400pc,Threaded hardware kit for secure assemblies.,Carbon steel set with labeled bins for quick selection and restock planning.,29.99,38.99,46,true,false,/catalog/hardware/MT-FST-003-1.jpg|/catalog/hardware/MT-FST-003-2.jpg
MT-FST-004,cable-clip-and-tie-kit-300pc,Hardware Tools,Cable Clip and Tie Kit 300pc,Neat cable routing set for desks and workshops.,"Includes adhesive clips, reusable straps, and nylon zip ties in mixed lengths.",15.99,21.99,95,true,false,/catalog/hardware/MT-FST-004-1.jpg|/catalog/hardware/MT-FST-004-2.jpg
MT-MUT-001,retractable-utility-knife-2pack,Hardware Tools,Retractable Utility Knife 2-Pack,Everyday cutting pair with quick blade change.,"Metal guide rail, anti-slip grip, and secure lock mechanism for daily packaging and craft use.",13.99,18.99,102,true,true,/catalog/hardware/MT-MUT-001-1.jpg|/catalog/hardware/MT-MUT-001-2.jpg
MT-MUT-002,folding-pocket-multi-tool-11in1,Hardware Tools,Folding Pocket Multi-Tool 11-in-1,Compact pocket tool for on-the-go fixes.,"Features pliers, blade, file, and screwdrivers with locking mechanism and carry pouch.",32.99,41.99,37,true,false,/catalog/hardware/MT-MUT-002-1.jpg|/catalog/hardware/MT-MUT-002-2.jpg
MT-MUT-003,magnetic-pickup-tool-led,Hardware Tools,Magnetic Pickup Tool with LED,Retrieve dropped screws in tight dark spaces.,Flexible telescopic rod with bright LED tip and pocket clip.,11.99,16.99,88,true,false,/catalog/hardware/MT-MUT-003-1.jpg|/catalog/hardware/MT-MUT-003-2.jpg
MT-MUT-004,mini-claw-hammer-fiberglass,Hardware Tools,Mini Claw Hammer Fiberglass,Lightweight hammer for home touch-up tasks.,Balanced fiberglass handle with anti-vibration grip and polished claw.,17.99,23.99,57,true,false,/catalog/hardware/MT-MUT-004-1.jpg|/catalog/hardware/MT-MUT-004-2.jpg
