"sku","slug","category","name_en","short_en","description_en","price","compare_at_price","stock","visible","featured","image_urls"
"MT-MEA-027","folding-hex-key-set-metric-imperial","Measuring and Layout","Folding Hex Key Set Metric Imperial","Dual standard folding hex key tool","Durable fold out keys cover common bike furniture and machine fasteners in one pocket unit","15.99","21.99","110","true","false","https://www.sexwomen.mom/catalog/hardware/MT-MEA-027-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-MEA-027-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-MEA-027-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-MEA-027-4.jpg"
"MT-UTL-025","retractable-utility-knife-pro-2pack","Utility Knives and Blades","Retractable Utility Knife Pro 2pack","Durable utility knives with spare blade storage","Quick blade change and positive lock slider support box cutting flooring and trim work","16.99","22.99","98","true","false","https://www.sexwomen.mom/catalog/hardware/MT-UTL-025-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-UTL-025-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-UTL-025-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-UTL-025-4.jpg"
"MT-UTL-026","safety-box-cutter-6pack-auto-retract","Utility Knives and Blades","Safety Box Cutter 6pack Auto Retract","Auto retract cutter set for safer warehouse use","Lightweight handles and guarded blades reduce injury risk during shipping and receiving tasks","14.99","19.99","132","true","false","https://www.sexwomen.mom/catalog/hardware/MT-UTL-026-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-UTL-026-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-UTL-026-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-UTL-026-4.jpg"
"MT-UTL-027","scraper-tool-with-razor-blades-20pc","Utility Knives and Blades","Scraper Tool with Razor Blades 20pc","Heavy scraper for paint sticker and residue removal","Metal body scraper plus refill blades handles glass tile and surface prep cleanup work","12.99","17.99","126","true","false","https://www.sexwomen.mom/catalog/hardware/MT-UTL-027-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-UTL-027-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-UTL-027-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-UTL-027-4.jpg"
"MT-DRL-025","cobalt-drill-bit-set-19pc","Drilling and Hole Prep","Cobalt Drill Bit Set 19pc","Heat resistant drill bits for hard metals","Split point tips improve centering and reduce walking for cleaner holes in steel and alloy materials","34.99","44.99","54","true","false","https://www.sexwomen.mom/catalog/hardware/MT-DRL-025-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-DRL-025-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-DRL-025-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-DRL-025-4.jpg"
"MT-DRL-026","masonry-drill-bit-set-10pc","Drilling and Hole Prep","Masonry Drill Bit Set 10pc","Carbide tips for brick block and concrete drilling","Common diameters cover anchor installs and mounting jobs for indoor and outdoor projects","21.99","28.99","80","true","false","https://www.sexwomen.mom/catalog/hardware/MT-DRL-026-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-DRL-026-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-DRL-026-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-DRL-026-4.jpg"
"MT-DRL-028","countersink-bit-set-7pc","Drilling and Hole Prep","Countersink Bit Set 7pc","Countersink and chamfer set for flush screw finishing","Adjustable depth and clean cut profile improve woodworking assembly and finishing quality","18.99","24.99","94","true","false","https://www.sexwomen.mom/catalog/hardware/MT-DRL-028-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-DRL-028-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-DRL-028-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-DRL-028-4.jpg"
"MT-SKT-029","ratchet-socket-set-46pc-1-4in","Socket and Ratchet Sets","Ratchet Socket Set 46pc 1/4in","Compact socket set for daily repairs and assembly","Includes common metric sockets extension bars and reversible ratchet for bike furniture and light mechanical jobs","32.99","42.99","66","true","false","https://www.sexwomen.mom/catalog/hardware/MT-SKT-029-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-SKT-029-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-SKT-029-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-SKT-029-4.jpg"
"MT-SKT-030","deep-socket-set-10pc-metric","Socket and Ratchet Sets","Deep Socket Set 10pc Metric","Deep reach sockets for recessed nuts and studs","Chrome vanadium sockets with clear size marking for engine bay and appliance maintenance tasks","24.99","32.99","78","true","false","https://www.sexwomen.mom/catalog/hardware/MT-SKT-030-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-SKT-030-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-SKT-030-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-SKT-030-4.jpg"
"MT-SKT-031","impact-socket-set-13pc-1-2in","Socket and Ratchet Sets","Impact Socket Set 13pc 1/2in","Impact rated sockets for high torque tools","Black phosphate finish and laser sizing improve durability for wheel and suspension service","39.99","49.99","52","true","false","https://www.sexwomen.mom/catalog/hardware/MT-SKT-031-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-SKT-031-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-SKT-031-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-SKT-031-4.jpg"
"MT-SKT-032","universal-joint-socket-adapter-kit-4pc","Socket and Ratchet Sets","Universal Joint Socket Adapter Kit 4pc","Flexible adapters for angled fastener access","Connects ratchets and extensions to reach hidden bolts in confined engine and cabinet spaces","14.99","19.99","120","true","false","https://www.sexwomen.mom/catalog/hardware/MT-SKT-032-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-SKT-032-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-SKT-032-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-SKT-032-4.jpg"
"MT-WRN-029","combination-wrench-set-12pc-metric","Wrench and Spanner Tools","Combination Wrench Set 12pc Metric","Open and box end wrench set for general service","Slim profile heads and corrosion resistant finish support reliable grip across common metric sizes","36.99","46.99","58","true","false","https://www.sexwomen.mom/catalog/hardware/MT-WRN-029-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-WRN-029-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-WRN-029-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-WRN-029-4.jpg"
"MT-WRN-030","adjustable-wrench-10in-wide-jaw","Wrench and Spanner Tools","Adjustable Wrench 10in Wide Jaw","Wide jaw adjustable wrench for plumbing and hardware","Smooth worm gear adjustment and anti slip handle provide stable torque in daily repair use","18.99","25.99","102","true","false","https://www.sexwomen.mom/catalog/hardware/MT-WRN-030-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-WRN-030-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-WRN-030-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-WRN-030-4.jpg"
"MT-WRN-031","flare-nut-wrench-set-5pc","Wrench and Spanner Tools","Flare Nut Wrench Set 5pc","Line wrench set for brake and fuel fittings","Six point contact helps prevent rounding on soft metal nuts during automotive and hydraulic service","27.99","35.99","64","true","false","https://www.sexwomen.mom/catalog/hardware/MT-WRN-031-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-WRN-031-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-WRN-031-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-WRN-031-4.jpg"
"MT-WRN-032","crowfoot-wrench-set-11pc","Crowfoot and Specialty Wrenches","Crowfoot Wrench Set 11pc","Low clearance crowfoot set for hard to reach fittings","Works with extension and torque wrench for line and manifold fasteners in narrow compartments","29.99","38.99","56","true","false","https://www.sexwomen.mom/catalog/hardware/MT-WRN-032-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-WRN-032-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-WRN-032-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-WRN-032-4.jpg"
"MT-CLP-029","quick-release-bar-clamp-12in-2pack","Clamps and Vises","Quick Release Bar Clamp 12in 2pack","One hand clamp pair for woodworking and glue ups","Reinforced bar and fast release trigger speed alignment and assembly tasks on bench projects","21.99","28.99","88","true","false","https://www.sexwomen.mom/catalog/hardware/MT-CLP-029-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-CLP-029-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-CLP-029-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-CLP-029-4.jpg"
"MT-CLP-030","spring-clamp-set-20pc-heavy-duty","Clamps and Vises","Spring Clamp Set 20pc Heavy Duty","Assorted spring clamps for shop and photo setups","Strong spring force and pivot pads hold material securely without surface damage","17.99","23.99","124","true","false","https://www.sexwomen.mom/catalog/hardware/MT-CLP-030-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-CLP-030-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-CLP-030-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-CLP-030-4.jpg"
"MT-CLP-031","bench-vise-4in-swivel-base","Clamps and Vises","Bench Vise 4in Swivel Base","Cast vise with swivel base for stable workholding","Jaw liners and smooth spindle action secure metal wood and plastic parts for cutting and drilling","54.99","69.99","34","true","false","https://www.sexwomen.mom/catalog/hardware/MT-CLP-031-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-CLP-031-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-CLP-031-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-CLP-031-4.jpg"
"MT-CLP-032","corner-clamp-set-4pc-90-degree","Clamps and Vises","Corner Clamp Set 4pc 90 Degree","Right angle clamp kit for frame and box assembly","Holds boards at true ninety degrees to improve accuracy in cabinet and picture frame builds","19.99","26.99","92","true","false","https://www.sexwomen.mom/catalog/hardware/MT-CLP-032-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-CLP-032-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-CLP-032-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-CLP-032-4.jpg"
"MT-MEA-030","angle-finder-digital-bevel-gauge","Measuring and Layout","Angle Finder Digital Bevel Gauge","Digital angle tool for saw and layout setup","Locking arm and backlit display speed angle transfer for trim flooring and framing work","23.99","31.99","82","true","false","https://www.sexwomen.mom/catalog/hardware/MT-MEA-030-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-MEA-030-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-MEA-030-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-MEA-030-4.jpg"
"MT-MEA-031","marking-gauge-combo-set-3pc","Measuring and Layout","Marking Gauge Combo Set 3pc","Layout marking set for accurate cut lines","Includes wheel gauge depth gauge and scribe for woodworking joinery and cabinet projects","26.99","34.99","64","true","false","https://www.sexwomen.mom/catalog/hardware/MT-MEA-031-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-MEA-031-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-MEA-031-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-MEA-031-4.jpg"
"MT-MEA-032","center-punch-set-automatic-2pc","Measuring and Layout","Center Punch Set Automatic 2pc","Spring loaded punch set for precise drill starts","Adjustable impact strength helps prevent drill bit walking on metal and plastic surfaces","13.99","18.99","118","true","false","https://www.sexwomen.mom/catalog/hardware/MT-MEA-032-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-MEA-032-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-MEA-032-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-MEA-032-4.jpg"
"MT-DRL-029","screw-extractor-and-left-bit-set-15pc","Drilling and Hole Prep","Screw Extractor and Left Bit Set 15pc","Remove stripped screws and broken bolts quickly","Left handed drill bits with extractors recover damaged fasteners in maintenance and repair jobs","24.99","32.99","76","true","false","https://www.sexwomen.mom/catalog/hardware/MT-DRL-029-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-DRL-029-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-DRL-029-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-DRL-029-4.jpg"
"MT-DRL-031","hole-saw-kit-bi-metal-17pc","Drilling and Hole Prep","Hole Saw Kit Bi Metal 17pc","Multi size hole saw set for wood and plastic cuts","Arbor and pilot bit system speeds clean openings for conduit cable and fixture installs","38.99","49.99","44","true","false","https://www.sexwomen.mom/catalog/hardware/MT-DRL-031-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-DRL-031-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-DRL-031-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-DRL-031-4.jpg"
"MT-DRL-032","hex-shank-countersink-and-deburr-6pc","Drilling and Hole Prep","Hex Shank Countersink and Deburr 6pc","Countersink set for flush screws and smooth edge finishing","Hex shank design changes fast on drills and drivers for woodworking and sheet work","19.99","25.99","86","true","false","https://www.sexwomen.mom/catalog/hardware/MT-DRL-032-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-DRL-032-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-DRL-032-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-DRL-032-4.jpg"
