sku,slug,category,name_en,short_en,description_en,price,compare_at_price,stock,visible,featured,image_urls
MT-DRB-003,masonry-drill-bit-set-7pc,Hardware Tools,Masonry Drill Bit Set 7pc,"Concrete and brick bit set for home installs.","Carbide tips with anti-slip shank to improve stability on masonry surfaces.",21.99,28.99,49,true,false,https://images.unsplash.com/photo-1598941707802-0f7f6f76f6ac?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1616627561738-c785f0f1023d?auto=format&fit=crop&w=1200&q=80
MT-DRB-004,countersink-bit-kit-6pc,Hardware Tools,Countersink Bit Kit 6pc,"Clean pilot holes with flush screw finishes.","Includes six countersink sizes for cabinet work, trim, and wood projects.",19.99,25.99,52,true,false,https://images.unsplash.com/photo-1621600410055-4fbd850fd66b?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1616627561948-ae4bbfca4a79?auto=format&fit=crop&w=1200&q=80
MT-FST-001,wall-anchor-assortment-210pc,Hardware Tools,Wall Anchor Assortment 210pc,"Mixed wall anchors and screws for apartment installs.","Includes multiple sizes for drywall, concrete, and hollow wall applications.",18.99,24.99,110,true,true,https://images.unsplash.com/photo-1616627562112-57684ab35c50?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1616627562064-3d26f2f2f77d?auto=format&fit=crop&w=1200&q=80
MT-FST-002,stainless-screw-kit-500pc,Hardware Tools,Stainless Screw Kit 500pc,"Corrosion-resistant screw assortment for indoor and outdoor fixes.","Organized case with common head styles and quick ID labels.",24.99,32.99,84,true,false,https://images.unsplash.com/photo-1621905251185-41f80be4a094?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1616627562172-c3e55d26ab9b?auto=format&fit=crop&w=1200&q=80
MT-FST-003,hex-bolt-nut-washer-kit-400pc,Hardware Tools,Hex Bolt Nut Washer Kit 400pc,"Threaded hardware kit for secure assemblies.","Carbon steel set with labeled bins for quick selection and restock planning.",29.99,38.99,46,true,false,https://images.unsplash.com/photo-1616627562472-5cf72e23b712?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1616627561793-167cdbaff342?auto=format&fit=crop&w=1200&q=80
MT-FST-004,cable-clip-and-tie-kit-300pc,Hardware Tools,Cable Clip and Tie Kit 300pc,"Neat cable routing set for desks and workshops.","Includes adhesive clips, reusable straps, and nylon zip ties in mixed lengths.",15.99,21.99,95,true,false,https://images.unsplash.com/photo-1616627561977-0a7f62095154?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1616627561613-8fbe5f53d89d?auto=format&fit=crop&w=1200&q=80
MT-MUT-001,retractable-utility-knife-2pack,Hardware Tools,Retractable Utility Knife 2-Pack,"Everyday cutting pair with quick blade change.","Metal guide rail, anti-slip grip, and secure lock mechanism for daily packaging and craft use.",13.99,18.99,102,true,true,https://images.unsplash.com/photo-1621600412143-c1f9df3f2f8b?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1616627561591-a6cc13d13bf0?auto=format&fit=crop&w=1200&q=80
MT-MUT-002,folding-pocket-multi-tool-11in1,Hardware Tools,Folding Pocket Multi-Tool 11-in-1,"Compact pocket tool for on-the-go fixes.","Features pliers, blade, file, and screwdrivers with locking mechanism and carry pouch.",32.99,41.99,37,true,false,https://images.unsplash.com/photo-1591129841117-3adfd313e34f?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1621600412624-6e8c3f4c2a7e?auto=format&fit=crop&w=1200&q=80
MT-MUT-003,magnetic-pickup-tool-led,Hardware Tools,Magnetic Pickup Tool with LED,"Retrieve dropped screws in tight dark spaces.","Flexible telescopic rod with bright LED tip and pocket clip.",11.99,16.99,88,true,false,https://images.unsplash.com/photo-1581093588401-22d0389c2f2f?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1621600412351-4fd57f4c9b89?auto=format&fit=crop&w=1200&q=80
MT-MUT-004,mini-claw-hammer-fiberglass,Hardware Tools,Mini Claw Hammer Fiberglass,"Lightweight hammer for home touch-up tasks.","Balanced fiberglass handle with anti-vibration grip and polished claw.",17.99,23.99,57,true,false,https://images.unsplash.com/photo-1598032895397-b9472444bf93?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1621600412431-f6d0f4a09752?auto=format&fit=crop&w=1200&q=80
